Program,Threads,Run,Time (s)
./producers_consumers,2,1,1.73
./producers_consumers,2,2,1.72
./producers_consumers,2,3,1.74
./producers_consumers,2,4,1.73
./producers_consumers,2,5,1.74
./producers_consumers,2,6,1.73
./producers_consumers,2,7,1.74
./producers_consumers,2,8,1.74
./producers_consumers,2,9,1.73
./producers_consumers,2,10,1.74
./producers_consumers,4,1,0.89
./producers_consumers,4,2,0.88
./producers_consumers,4,3,0.87
./producers_consumers,4,4,0.87
./producers_consumers,4,5,0.87
./producers_consumers,4,6,0.86
./producers_consumers,4,7,0.86
./producers_consumers,4,8,0.88
./producers_consumers,4,9,0.88
./producers_consumers,4,10,0.88
./producers_consumers,8,1,0.44
./producers_consumers,8,2,0.44
./producers_consumers,8,3,0.44
./producers_consumers,8,4,0.44
./producers_consumers,8,5,0.44
./producers_consumers,8,6,0.44
./producers_consumers,8,7,0.44
./producers_consumers,8,8,0.44
./producers_consumers,8,9,0.44
./producers_consumers,8,10,0.44
./producers_consumers,16,1,0.25
./producers_consumers,16,2,0.25
./producers_consumers,16,3,0.25
./producers_consumers,16,4,0.25
./producers_consumers,16,5,0.24
./producers_consumers,16,6,0.24
./producers_consumers,16,7,0.25
./producers_consumers,16,8,0.26
./producers_consumers,16,9,0.26
./producers_consumers,16,10,0.25
./producers_consumers,32,1,0.25
./producers_consumers,32,2,0.25
./producers_consumers,32,3,0.25
./producers_consumers,32,4,0.25
./producers_consumers,32,5,0.25
./producers_consumers,32,6,0.25
./producers_consumers,32,7,0.25
./producers_consumers,32,8,0.25
./producers_consumers,32,9,0.28
./producers_consumers,32,10,0.29
