Program,Threads,Run,Time (s)
./prod_conso_TAS,2,1,1.69
./prod_conso_TAS,2,2,1.69
./prod_conso_TAS,2,3,1.70
./prod_conso_TAS,2,4,1.76
./prod_conso_TAS,2,5,1.74
./prod_conso_TAS,4,1,0.88
./prod_conso_TAS,4,2,0.85
./prod_conso_TAS,4,3,2.95
./prod_conso_TAS,4,4,0.86
./prod_conso_TAS,4,5,0.86
./prod_conso_TAS,8,1,0.42
./prod_conso_TAS,8,2,0.47
./prod_conso_TAS,8,3,0.43
./prod_conso_TAS,8,4,0.42
./prod_conso_TAS,8,5,0.43
./prod_conso_TAS,16,1,0.24
./prod_conso_TAS,16,2,0.24
./prod_conso_TAS,16,3,0.24
./prod_conso_TAS,16,4,0.24
./prod_conso_TAS,16,5,0.24
./prod_conso_TAS,32,1,0.53
./prod_conso_TAS,32,2,0.80
./prod_conso_TAS,32,3,0.78
./prod_conso_TAS,32,4,0.62
./prod_conso_TAS,32,5,0.71
