Program,Threads,Run,Time (s)
./prod_conso_TAS,2,1,1.67
./prod_conso_TAS,2,2,1.71
./prod_conso_TAS,2,3,1.68
./prod_conso_TAS,2,4,2.08
./prod_conso_TAS,2,5,1.70
./prod_conso_TAS,2,6,1.73
./prod_conso_TAS,2,7,1.65
./prod_conso_TAS,2,8,1.68
./prod_conso_TAS,2,9,1.70
./prod_conso_TAS,2,10,1.68
./prod_conso_TAS,4,1,0.86
./prod_conso_TAS,4,2,0.86
./prod_conso_TAS,4,3,0.86
./prod_conso_TAS,4,4,0.85
./prod_conso_TAS,4,5,0.85
./prod_conso_TAS,4,6,0.85
./prod_conso_TAS,4,7,1.19
./prod_conso_TAS,4,8,0.85
./prod_conso_TAS,4,9,0.86
./prod_conso_TAS,4,10,1.09
./prod_conso_TAS,8,1,0.42
./prod_conso_TAS,8,2,2.64
./prod_conso_TAS,8,3,2.15
./prod_conso_TAS,8,4,4.50
./prod_conso_TAS,8,5,0.53
./prod_conso_TAS,8,6,0.42
./prod_conso_TAS,8,7,0.42
./prod_conso_TAS,8,8,0.42
./prod_conso_TAS,8,9,0.42
./prod_conso_TAS,8,10,0.42
./prod_conso_TAS,16,1,0.24
./prod_conso_TAS,16,2,0.24
./prod_conso_TAS,16,3,0.24
./prod_conso_TAS,16,4,0.24
./prod_conso_TAS,16,5,0.24
./prod_conso_TAS,16,6,0.24
./prod_conso_TAS,16,7,0.24
./prod_conso_TAS,16,8,0.24
./prod_conso_TAS,16,9,0.24
./prod_conso_TAS,16,10,0.24
./prod_conso_TAS,32,1,0.67
./prod_conso_TAS,32,2,0.63
./prod_conso_TAS,32,3,0.54
./prod_conso_TAS,32,4,0.66
./prod_conso_TAS,32,5,0.75
./prod_conso_TAS,32,6,0.63
./prod_conso_TAS,32,7,0.75
./prod_conso_TAS,32,8,0.88
./prod_conso_TAS,32,9,0.52
./prod_conso_TAS,32,10,0.74
