Program,Threads,Run,Time (s)
./prod_conso_TATAS,2,1,1.78
./prod_conso_TATAS,2,2,1.77
./prod_conso_TATAS,2,3,1.73
./prod_conso_TATAS,2,4,1.73
./prod_conso_TATAS,2,5,1.73
./prod_conso_TATAS,2,6,1.74
./prod_conso_TATAS,2,7,1.73
./prod_conso_TATAS,2,8,1.75
./prod_conso_TATAS,2,9,1.72
./prod_conso_TATAS,2,10,1.76
./prod_conso_TATAS,4,1,0.89
./prod_conso_TATAS,4,2,0.89
./prod_conso_TATAS,4,3,0.88
./prod_conso_TATAS,4,4,0.89
./prod_conso_TATAS,4,5,0.90
./prod_conso_TATAS,4,6,0.88
./prod_conso_TATAS,4,7,0.90
./prod_conso_TATAS,4,8,0.89
./prod_conso_TATAS,4,9,0.90
./prod_conso_TATAS,4,10,0.90
./prod_conso_TATAS,8,1,0.45
./prod_conso_TATAS,8,2,0.45
./prod_conso_TATAS,8,3,0.44
./prod_conso_TATAS,8,4,0.44
./prod_conso_TATAS,8,5,0.45
./prod_conso_TATAS,8,6,0.44
./prod_conso_TATAS,8,7,0.44
./prod_conso_TATAS,8,8,0.44
./prod_conso_TATAS,8,9,0.44
./prod_conso_TATAS,8,10,0.46
./prod_conso_TATAS,16,1,0.24
./prod_conso_TATAS,16,2,0.25
./prod_conso_TATAS,16,3,0.24
./prod_conso_TATAS,16,4,0.25
./prod_conso_TATAS,16,5,0.25
./prod_conso_TATAS,16,6,0.25
./prod_conso_TATAS,16,7,0.24
./prod_conso_TATAS,16,8,0.25
./prod_conso_TATAS,16,9,0.25
./prod_conso_TATAS,16,10,0.24
./prod_conso_TATAS,32,1,0.90
./prod_conso_TATAS,32,2,0.54
./prod_conso_TATAS,32,3,0.62
./prod_conso_TATAS,32,4,1.05
./prod_conso_TATAS,32,5,0.81
./prod_conso_TATAS,32,6,0.74
./prod_conso_TATAS,32,7,0.78
./prod_conso_TATAS,32,8,0.78
./prod_conso_TATAS,32,9,0.44
./prod_conso_TATAS,32,10,0.61
