Program,Threads,Run,Time (s)
./readers_writers_TAS,2,1,0.04
./readers_writers_TAS,2,2,0.04
./readers_writers_TAS,2,3,0.04
./readers_writers_TAS,2,4,0.04
./readers_writers_TAS,2,5,0.04
./readers_writers_TAS,2,6,0.04
./readers_writers_TAS,2,7,0.04
./readers_writers_TAS,2,8,0.04
./readers_writers_TAS,2,9,0.04
./readers_writers_TAS,2,10,0.04
./readers_writers_TAS,4,1,0.02
./readers_writers_TAS,4,2,0.02
./readers_writers_TAS,4,3,0.02
./readers_writers_TAS,4,4,0.02
./readers_writers_TAS,4,5,0.02
./readers_writers_TAS,4,6,0.02
./readers_writers_TAS,4,7,0.02
./readers_writers_TAS,4,8,0.02
./readers_writers_TAS,4,9,0.02
./readers_writers_TAS,4,10,0.02
./readers_writers_TAS,8,1,0.01
./readers_writers_TAS,8,2,0.01
./readers_writers_TAS,8,3,0.23
./readers_writers_TAS,8,4,0.01
./readers_writers_TAS,8,5,0.01
./readers_writers_TAS,8,6,0.01
./readers_writers_TAS,8,7,0.01
./readers_writers_TAS,8,8,0.01
./readers_writers_TAS,8,9,0.15
./readers_writers_TAS,8,10,0.01
./readers_writers_TAS,16,1,0.01
./readers_writers_TAS,16,2,0.01
./readers_writers_TAS,16,3,0.01
./readers_writers_TAS,16,4,0.01
./readers_writers_TAS,16,5,0.01
./readers_writers_TAS,16,6,0.01
./readers_writers_TAS,16,7,0.01
./readers_writers_TAS,16,8,0.01
./readers_writers_TAS,16,9,0.01
./readers_writers_TAS,16,10,0.01
./readers_writers_TAS,32,1,0.10
./readers_writers_TAS,32,2,0.01
./readers_writers_TAS,32,3,0.14
./readers_writers_TAS,32,4,0.08
./readers_writers_TAS,32,5,0.02
./readers_writers_TAS,32,6,0.04
./readers_writers_TAS,32,7,0.02
./readers_writers_TAS,32,8,0.01
./readers_writers_TAS,32,9,0.01
./readers_writers_TAS,32,10,0.06
