Program,Threads,Run,Time (s)
./readers_writers_TATAS,2,1,0.04
./readers_writers_TATAS,2,2,0.04
./readers_writers_TATAS,2,3,0.04
./readers_writers_TATAS,2,4,0.04
./readers_writers_TATAS,2,5,0.04
./readers_writers_TATAS,2,6,0.04
./readers_writers_TATAS,2,7,0.04
./readers_writers_TATAS,2,8,0.04
./readers_writers_TATAS,2,9,0.04
./readers_writers_TATAS,2,10,0.04
./readers_writers_TATAS,4,1,0.02
./readers_writers_TATAS,4,2,0.02
./readers_writers_TATAS,4,3,0.02
./readers_writers_TATAS,4,4,0.02
./readers_writers_TATAS,4,5,0.02
./readers_writers_TATAS,4,6,0.02
./readers_writers_TATAS,4,7,0.04
./readers_writers_TATAS,4,8,0.02
./readers_writers_TATAS,4,9,0.02
./readers_writers_TATAS,4,10,0.02
./readers_writers_TATAS,8,1,0.01
./readers_writers_TATAS,8,2,0.01
./readers_writers_TATAS,8,3,0.01
./readers_writers_TATAS,8,4,0.04
./readers_writers_TATAS,8,5,0.01
./readers_writers_TATAS,8,6,0.12
./readers_writers_TATAS,8,7,0.08
./readers_writers_TATAS,8,8,0.27
./readers_writers_TATAS,8,9,0.01
./readers_writers_TATAS,8,10,0.05
./readers_writers_TATAS,16,1,1.08
./readers_writers_TATAS,16,2,1.49
./readers_writers_TATAS,16,3,0.01
./readers_writers_TATAS,16,4,0.01
./readers_writers_TATAS,16,5,0.01
./readers_writers_TATAS,16,6,0.05
./readers_writers_TATAS,16,7,1.58
./readers_writers_TATAS,16,8,0.96
./readers_writers_TATAS,16,9,0.01
./readers_writers_TATAS,16,10,0.01
./readers_writers_TATAS,32,1,0.17
./readers_writers_TATAS,32,2,0.07
./readers_writers_TATAS,32,3,0.12
./readers_writers_TATAS,32,4,0.13
./readers_writers_TATAS,32,5,0.04
./readers_writers_TATAS,32,6,0.12
./readers_writers_TATAS,32,7,0.04
./readers_writers_TATAS,32,8,0.14
./readers_writers_TATAS,32,9,0.04
./readers_writers_TATAS,32,10,0.03
