Threads,Run,Time (s)
2,1,0:01.93
2,2,0:02.90
2,3,0:01.93
2,4,0:01.91
2,5,0:01.89
2,6,0:01.91
2,7,0:01.90
2,8,0:01.92
2,9,0:02.10
2,10,0:02.59
4,1,0:00.96
4,2,0:01.03
4,3,0:00.95
4,4,0:00.96
4,5,0:01.03
4,6,0:00.99
4,7,0:00.96
4,8,0:00.95
4,9,0:00.99
4,10,0:01.08
8,1,0:00.58
8,2,0:00.59
8,3,0:00.58
8,4,0:00.58
8,5,0:00.57
8,6,0:00.57
8,7,0:00.58
8,8,0:00.64
8,9,0:00.72
8,10,0:00.76
16,1,0:00.75
16,2,0:00.74
16,3,0:00.75
16,4,0:00.73
16,5,0:00.79
16,6,0:00.78
16,7,0:00.78
16,8,0:00.71
16,9,0:00.74
16,10,0:00.73
32,1,0:01.75
32,2,0:01.45
32,3,0:01.59
32,4,0:01.56
32,5,0:01.74
32,6,0:01.60
32,7,0:01.67
32,8,0:01.65
32,9,0:01.76
32,10,0:01.64
