Evaluating ./philosophers...
Program: ./philosophers | Threads: 2 | Run: 1 | Time: .102015049 seconds
Program: ./philosophers | Threads: 2 | Run: 2 | Time: .124352978 seconds
Program: ./philosophers | Threads: 2 | Run: 3 | Time: .133382160 seconds
Program: ./philosophers | Threads: 2 | Run: 4 | Time: .089187532 seconds
Program: ./philosophers | Threads: 2 | Run: 5 | Time: .098914199 seconds
Program: ./philosophers | Threads: 4 | Run: 1 | Time: .259350623 seconds
Program: ./philosophers | Threads: 4 | Run: 2 | Time: .267662430 seconds
Program: ./philosophers | Threads: 4 | Run: 3 | Time: .168077897 seconds
Program: ./philosophers | Threads: 4 | Run: 4 | Time: .185840699 seconds
Program: ./philosophers | Threads: 4 | Run: 5 | Time: .258191888 seconds
Program: ./philosophers | Threads: 8 | Run: 1 | Time: .279469974 seconds
Program: ./philosophers | Threads: 8 | Run: 2 | Time: .235537833 seconds
Program: ./philosophers | Threads: 8 | Run: 3 | Time: .253710349 seconds
Program: ./philosophers | Threads: 8 | Run: 4 | Time: .197574017 seconds
Program: ./philosophers | Threads: 8 | Run: 5 | Time: .136812377 seconds
Program: ./philosophers | Threads: 16 | Run: 1 | Time: .256756204 seconds
Program: ./philosophers | Threads: 16 | Run: 2 | Time: .282457060 seconds
Program: ./philosophers | Threads: 16 | Run: 3 | Time: .247916927 seconds
Program: ./philosophers | Threads: 16 | Run: 4 | Time: .322366797 seconds
Program: ./philosophers | Threads: 16 | Run: 5 | Time: .336224182 seconds
Program: ./philosophers | Threads: 32 | Run: 1 | Time: .353171574 seconds
Program: ./philosophers | Threads: 32 | Run: 2 | Time: .349928971 seconds
Program: ./philosophers | Threads: 32 | Run: 3 | Time: .437788433 seconds
Program: ./philosophers | Threads: 32 | Run: 4 | Time: .398280336 seconds
Program: ./philosophers | Threads: 32 | Run: 5 | Time: .299060253 seconds
Evaluating ./producers_consumers...
Program: ./producers_consumers | Threads: 2 | Run: 1 | Time: 2.661932072 seconds
